Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Cavia porcellus;Domestic guinea pig;Cav p 2.0101;Aero Animal;Cavia Cav p 2;IgE but no biological test;170;CAX62129.1;325910590;12
Cavia porcellus;Domestic guinea pig;Cav p 3.0101;Aero Animal;Cavia Cav p 3 lipocalin;IgE plus basophil+ or SPT+;170;CAX62130.1;325910592;12
Equus caballus;Horse;Equ c 1.0101;Aero Animal;Equus Equ c 1;IgE but no biological test;187;AAC48691.1;1575778;11
Equus caballus;Horse;Equ c 2.0101;Aero Animal;Equus Equ c 2;IgE but no biological test;29;P81216.1;3121755;7
Equus caballus;Horse;Equ c 2.0102;Aero Animal;Equus Equ c 2;IgE but no biological test;19;P81217.1;3121756;7
Equus caballus;Horse;Equ c 3.0101;Aero Animal;Equus Equ c 3;IgE plus basophil+ or SPT+;607;CAA52194.1;399672;7
Equus caballus;Horse;Equ c 4.0101;Aero Animal;Equus Equ c 4 and Equ c 5;IgE but no biological test;228;AAM09530.3;126514234;8
Felis catus;Cat;;Aero Animal;Felis Fel d 1 Chain 1;IgE plus basophil+ or SPT+;88;CAA44343.1;1364212;7
Felis catus;Cat;;Aero Animal;Felis Fel d 1 Chain 1;IgE plus basophil+ or SPT+;92;CAA44344.1;1364213;7
Felis catus;Cat;;Aero Animal;Felis Fel d 1 Chain 1;IgE plus basophil+ or SPT+;92;P30438.2;1169665;7
Felis catus;Cat;Fel d 1.0101;Aero Animal;Felis Fel d 1 Chain 1;IgE plus basophil+ or SPT+;92;AAC37318.1;163825;7
Felis catus;Cat;Unassigned;Aero Animal;Felis Fel d 1 Chain 1;IgE plus basophil+ or SPT+;88;NP_001041618.1;114326420;8
Felis catus;Cat;Unassigned;Aero Animal;Felis Fel d 1 chain 2;IgE plus basophil+ or SPT+;107;CAA44345.1;395407;8
Felis catus;Cat;Fel d 1.0101;Aero Animal;Felis Fel d 1 chain 2;IgE plus basophil+ or SPT+;109;AAC41616.1;163823;12
Felis catus;Cat;Fel d 2.0101;Aero Animal;Felis Fel d 2;IgE but no biological test;608;CAA59279.1;886485;7
Felis catus;Cat;Fel d 3.0101;Aero Animal;Felis Fel d 3;IgE but no biological test;98;AAL49391.1;17939981;7
Felis catus;Cat;Fel d 4.0101;Aero Animal;Felis Fel d 4;IgE but no biological test;186;AAS77253.1;45775300;7
Felis catus;Cat;Fel d 7.0101;Aero Animal;Felis Fel d 7;IgE but no biological test;180;ADK56160.1;301072397;12
Felis catus;Cat;Fel d 8.0101;Aero Animal;Felis Fel d 8 latherin-like;IgE but no biological test;228;ADM15668.1;303387468;12
Mesocricetus auratus;Golden hamster;Mes a 1.0101;Aero Animal;Mesocricetus auratus Mes a 1;IgE but no biological test;172;AAD55792.2;13124669;16
Mesocricetus auratus;Golden hamster;Unassigned;Aero Animal;Mesocricetus auratus Mes a 1;IgE but no biological test;172;Q99MG7.1;81916647;17
Mus musculus;Mouse;;Aero Animal;Mus Mus m 1;IgE plus basophil+ or SPT+;180;P02762.2;20178291;7
Mus musculus;Mouse;Mus m 1.0101;Aero Animal;Mus Mus m 1;IgE plus basophil+ or SPT+;180;CAA26953.1;295910;15
Mus musculus;Mouse;Unassigned;Aero Animal;Mus Mus m 1;IgE plus basophil+ or SPT+;181;A2BIM8.1;980952242;17
Mus musculus domesticus;Mouse;Mus m 1.0102;Aero Animal;Mus Mus m 1;IgE plus basophil+ or SPT+;180;AAA39768.1;199881;15
Oryctolagus cuniculus;European rabbit;Ory c 3.A.0101;Aero Animal;Oryctolagus Ory c 3;IgE plus basophil+ or SPT+;93;AAG42806.1;11993600;15
Oryctolagus cuniculus;European rabbit;Ory c 3.B.0101;Aero Animal;Oryctolagus Ory c 3;IgE plus basophil+ or SPT+;90;AAG42802.1;11993592;15
Rattus norvegicus;Rat;;Aero Animal;Rattus Rat n 1;IgE but no biological test;181;P02761.1;127533;7
Rattus norvegicus;Rat;;Aero Animal;Rattus Rat n 1;IgE but no biological test;181;Q63213;81890324;7
Rattus norvegicus;Rat;Rat n 1.0101;Aero Animal;Rattus Rat n 1;IgE but no biological test;177;AAA41198.1;204261;15
Sus scrofa;Pig;Unassigned;Aero Animal;Sus Porcine Pepsin;IgE but no biological test;385;P00791.3;118572685;11
Sus scrofa;Pig;Sus s 1.0101;Aero Animal;Sus s serum albumin;IgE but no biological test;605;AAA30988.1;164318;17
Sus scrofa;Pig;Unassigned;Aero Animal;Sus s serum albumin;IgE but no biological test;607;NP_001005208.1;52353352;17
Alternaria alternata;Fungus;Alt a 1.0101;Aero Fungi;Alternaria Alt a 1;IgE plus basophil+ or SPT+;157;AAB47552.1;1842045;7
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria Alt a 1;IgE plus basophil+ or SPT+;115;AAM77471.1;21913174;7
Alternaria alternata;Fungus;Alt a 1.0102;Aero Fungi;Alternaria Alt a 1;IgE plus basophil+ or SPT+;157;AAS75297.1;45680856;7
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria Alt a 1;IgE plus basophil+ or SPT+;133;3V0R_A;390980892;13
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria Alt a 1;IgE plus basophil+ or SPT+;130;4AUD_B;508123617;15
Alternaria alternata;Fungus;Alt a 10.01;Aero Fungi;Alternaria Alt a 10 ADH;IgE but no biological test;497;CAA55071.2;76666767;7
Alternaria alternata;Fungus;Alt a 12.0101;Aero Fungi;Alternaria Alt a 12 Ribosomal BP P1;IgE but no biological test;110;P49148.1;1350779;7
Alternaria alternata;Fungus;Alt a 13.0101;Aero Fungi;Alternaria Alt a 13;IgE plus basophil+ or SPT+;231;Q6R4B4.1;74611808;10
Alternaria alternata;Fungus;Alt a 3.0101;Aero Fungi;Alternaria Alt a 3 HSP;IgE but no biological test;152;P78983.2;14423730;7
Alternaria alternata;Fungus;Alt a 4.0101;Aero Fungi;Alternaria Alt a 4 thioredoxin;IgE but no biological test;436;Q00002.2;85701160;7
Alternaria alternata;Fungus;Alt a 5.0101;Aero Fungi;Alternaria Alt a 5 ribosomal P2;IgE but no biological test;113;AAB48041.1;1850540;7
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria Alt a 5 ribosomal P2;IgE but no biological test;113;P42037.1;1173071;10
Alternaria alternata;Fungus;Alt a 6.0101;Aero Fungi;Alternaria Alt a 6 enolase;IgE but no biological test;438;Q9HDT3.2;14423684;7
Alternaria alternata;Fungus;Alt a 7.0101;Aero Fungi;Alternaria Alt a 7 flavodoxin;IgE but no biological test;204;P42058.1;1168402;9
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria Alt a 7 flavodoxin;IgE but no biological test;261;OWY50380.1;1213711549;18
Alternaria alternata;Fungus;Alt a 8.0101;Aero Fungi;Alternaria Alt a 8 (mannitol dehydrogenase);IgE plus basophil+ or SPT+;266;AAO91800.1;37780013;8
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria Alt a 8 (mannitol dehydrogenase);IgE plus basophil+ or SPT+;266;P0C0Y4.2;118595439;8
Alternaria alternata;Fungus;Alt a 14.0101;Aero Fungi;Alternaria MnSOD Alt a 14;IgE but no biological test;191;AGS80276.1;529279957;15
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria Nuc Transport 2;IgE plus basophil+ or SPT+;124;CAD38167.1;21748153;7
Alternaria alternata;Fungus;Unassigned;Aero Fungi;Alternaria TCTP IgE binding;IgE but no biological test;169;ABI26088.1;112824341;11
Aspergillus flavus;Fungus;Unassigned;Aero Fungi;Aspergillus Oryzin Asp o 13, fl 13;IgE but no biological test;403;Q9UVU3;74665726;7
Aspergillus fumigatus;Fungus;Asp f 1;Aero Fungi;Aspergillus Asp f 1;IgE plus basophil+ or SPT+;125;CAA06305.1;3021324;7
Aspergillus fumigatus;Fungus;Asp f 1;Aero Fungi;Aspergillus Asp f 1;IgE plus basophil+ or SPT+;150;AAF86369.1;9280360;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 1;IgE plus basophil+ or SPT+;176;P67875.1;54039254;7
Aspergillus fumigatus;Fungus;Asp f 10.0101;Aero Fungi;Aspergillus Asp f 10;IgE but no biological test;395;CAA59419.1;963013;7
Aspergillus fumigatus;Fungus;Asp f 11.0101;Aero Fungi;Aspergillus Asp f 11;IgE plus basophil+ or SPT+;178;CAB44442.1;5019414;7
Aspergillus fumigatus;Fungus;Asp f 18.0101;Aero Fungi;Aspergillus Asp f 18 and Asp n 18;IgE but no biological test;495;CAA73782.1;2143220;7
Aspergillus fumigatus;Fungus;Asp f 2;Aero Fungi;Aspergillus Asp f 2;IgE but no biological test;250;AAB07620.1;664852;7
Aspergillus fumigatus;Fungus;Asp f 2.0101;Aero Fungi;Aspergillus Asp f 2;IgE but no biological test;310;P79017.2;83300352;7
Aspergillus fumigatus;Fungus;Asp f 22.0101;Aero Fungi;Aspergillus Asp f 22;IgE but no biological test;438;AAK49451.1;13925873;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 22;IgE but no biological test;438;Q96X30.3;83288046;7
Aspergillus fumigatus;Fungus;Asp f 23.0101;Aero Fungi;Aspergillus Asp f 23;IgE but no biological test;392;AAM43909.1;21215170;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 23;IgE but no biological test;392;Q8NKF4.2;83305621;7
Aspergillus fumigatus;Fungus;Asp f 27.0101;Aero Fungi;Aspergillus Asp f 27;IgE but no biological test;163;CAI78448.1;91680605;7
Aspergillus fumigatus;Fungus;Asp f 28.0101;Aero Fungi;Aspergillus Asp f 28;IgE but no biological test;108;CAI78449.1;91680607;7
Aspergillus fumigatus;Fungus;Asp f 29.0101;Aero Fungi;Aspergillus Asp f 29;IgE but no biological test;110;CAI78450.1;91680609;7
Aspergillus fumigatus;Fungus;Asp f 3.0101;Aero Fungi;Aspergillus Asp f 3;IgE plus basophil+ or SPT+;168;AAB95638.1;2769700;7
Aspergillus fumigatus;Fungus;Asp f 34.0101;Aero Fungi;Aspergillus Asp f 34;IgE plus basophil+ or SPT+;185;CAM54066.1;133920236;8
Aspergillus fumigatus;Fungus;Asp f 4.0101;Aero Fungi;Aspergillus Asp f 4;IgE plus basophil+ or SPT+;286;CAA04959.1;3005839;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 4;IgE plus basophil+ or SPT+;322;O60024.2;83300369;7
Aspergillus fumigatus;Fungus;Asp f 5.0101;Aero Fungi;Aspergillus Asp f 5;IgE but no biological test;634;CAA83015.1;3776613;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 5;IgE but no biological test;634;P46075.3;85541646;11
Aspergillus fumigatus;Fungus;Asp f 6.0101;Aero Fungi;Aspergillus Asp f 6;IgE plus basophil+ or SPT+;221;AAB60779.1;1648970;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 6;IgE plus basophil+ or SPT+;210;Q92450.3;83305645;7
Aspergillus fumigatus;Fungus;Asp f 7.0101;Aero Fungi;Aspergillus Asp f 7;IgE but no biological test;270;O42799.2;83300389;7
Aspergillus fumigatus;Fungus;Asp f 8.0101;Aero Fungi;Aspergillus Asp f 8;IgE plus basophil+ or SPT+;111;CAB64688.1;6686524;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 8;IgE plus basophil+ or SPT+;111;Q9UUZ6.2;83305635;7
Aspergillus fumigatus;Fungus;Asp f 9.0101;Aero Fungi;Aspergillus Asp f 9;IgE but no biological test;302;CAA11266.1;2879890;7
Aspergillus fumigatus;Fungus;Unassigned;Aero Fungi;Aspergillus Endo-chitosanase;IgE but no biological test;238;Q875I9.1;74629604;16
Aspergillus fumigatus Af293;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 2;IgE but no biological test;304;EAL89830.1;66849502;7
Aspergillus fumigatus Af293;Fungus;Unassigned;Aero Fungi;Aspergillus Endo-chitosanase;IgE but no biological test;242;Q4WB37.1;74666748;16
Aspergillus fumigatus var. RP-2014;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 4;IgE plus basophil+ or SPT+;322;KEY81716.1;666434194;16
Aspergillus fumigatus var. RP-2014;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 7;IgE but no biological test;270;KEY78748.1;666431137;16
Aspergillus niger;Fungus;Unassigned;Aero Fungi;Aspergillus Asp f 18 and Asp n 18;IgE but no biological test;533;AAA32702.1;289172;7
Aspergillus niger;Fungus;Asp n 14;Aero Fungi;Aspergillus Asp n 14;IgE but no biological test;804;CAB06417.1;2181180;7
Aspergillus niger;Fungus;Asp n 14.0101;Aero Fungi;Aspergillus Asp n 14;IgE but no biological test;804;AAD13106.1;4235093;7
Aspergillus oryzae;Fungus;Asp o 21;Aero Fungi;Aspergillus Asp o 21;IgE plus basophil+ or SPT+;499;P0C1B3.1;94706935;7
Aspergillus oryzae;Fungus;Asp o 21.0101;Aero Fungi;Aspergillus Asp o 21;IgE plus basophil+ or SPT+;499;AAA32708.1;166531;15
Aspergillus oryzae;Fungus;Asp f o 13.0101;Aero Fungi;Aspergillus Oryzin Asp o 13, fl 13;IgE but no biological test;403;P12547.2;129235;7
Aspergillus versicolor;Fungus;Asp v 13.0101;Aero Fungi;Aspergillus versicolor serine protease;IgE but no biological test;403;ADE74975.1;294441150;16
Cladosporium cladosporioides;Fungus;Cla c 14.0101;Aero Fungi;Cladosporium Cla c 14;IgE but no biological test;325;ADK47394.1;301015198;15
Cladosporium cladosporioides;Fungus;Cla c 9.0101;Aero Fungi;Cladosporium Cla c 9 Davidiella;IgE but no biological test;388;ABQ59329.1;148361511;11
Cochliobolus lunatus;Fungus;Cur l 2.0101;Aero Fungi;Curvularia lunata enolase Cur l 2.01 Cochliobolus;IgE but no biological test;440;AAK67491.1;14585753;8
Cochliobolus lunatus;Fungus;Cur l 3.0101;Aero Fungi;Curvularia lunatua Cur l 3  Cochliobolus;IgE plus basophil+ or SPT+;108;AAK67492.1;14585755;15
Cochliobolus lunatus;Fungus;Cur l 4.0101;Aero Fungi;Curvularia Cur l 4;IgE plus basophil+ or SPT+;506;ACF19589.1;193507493;15
Cochliobolus lunatus;Fungus;Unassigned;Aero Fungi;Curvularia lunata alcohol dehydrogenase;IgE but no biological test;352;ABC88428.1;86278351;17
Davidiella tassiana;Fungus;Cla h 10.0101;Aero Fungi;Cladosporium / Davidiella Cla h 10;IgE but no biological test;496;CAA55072.2;76666769;7
Davidiella tassiana;Fungus;Cla h 5.0101;Aero Fungi;Cladosporium / Davidiella Cla h 5;IgE but no biological test;111;CAA55067.2;5777795;10
Davidiella tassiana;Fungus;Cla h 6.0101;Aero Fungi;Cladosporium / Davidiella Cla h 6;IgE but no biological test;440;CAA55070.1;467660;7
Davidiella tassiana;Fungus;;Aero Fungi;Cladosporium / Davidiella Cla h 6;IgE but no biological test;440;P42040.2;6015094;7
Davidiella tassiana;Fungus;Cla h 7.0101;Aero Fungi;Cladosporium / Davidiella Cla h 7;IgE but no biological test;204;CAA55068.1;467629;10
Davidiella tassiana;Fungus;Cla h 8.0101;Aero Fungi;Cladosporium / Davidiella Cla h 8;IgE plus basophil+ or SPT+;267;AAO91801.1;37780015;8
Davidiella tassiana;Fungus;Cla h 9.0101;Aero Fungi;Cladosporium / Davidiella Cla h 9 vacuolar serine;IgE but no biological test;518;AAX14379.1;60116876;10
Davidiella tassiana;Fungus;Unassigned;Aero Fungi;Cladosporium / Davidiella Heat shock 70 kDa protei;IgE but no biological test;643;P40918.1;729764;7
Davidiella tassiana;Fungus;Unassigned;Aero Fungi;Cladosporium / Davidiella Hydrophobin;IgE plus basophil+ or SPT+;105;CAD42710.1;22796153;7
Davidiella tassiana;Fungus;Unassigned;Aero Fungi;Cladosporium / Davidiella putative hydrolase;IgE but no biological test;274;ABA42918.1;76446100;10
Davidiella tassiana;Fungus;Unassigned;Aero Fungi;Cladosporium / Davidiella Putative nuclear transpo;IgE plus basophil+ or SPT+;125;CAD38166.1;21748151;7
Epicoccum nigrum;Fungus;Epi p 1.0101;Aero Fungi;Epicoccum Epi p 1;IgE plus basophil+ or SPT+;18;P83340.1;24636820;9
Fusarium culmorum;Fungus;Unassigned;Aero Fungi;Fusarium claimed Fus c 3;IgE but no biological test;450;AAN73248.1;25361513;7
Fusarium culmorum;Fungus;Fus c 1.0101;Aero Fungi;Fusarium Fus c 1;IgE plus basophil+ or SPT+;109;AAL79930.1;19879657;7
Fusarium culmorum;Fungus;Fus c 2.0101;Aero Fungi;Fusarium Fus c 2;IgE but no biological test;121;AAL79931.1;19879659;7
Fusarium proliferatum;Fungus;Fus p 4.0101;Aero Fungi;Fusarium Fus p 4;IgE but no biological test;323;AHY02994.1;619498167;15
Penicillium brevicompactum;Fungus;Pen b 26.0101;Aero Fungi;Penicillium Pen b 26;IgE but no biological test;107;AAX11194.1;59894749;7
Penicillium chrysogenum;Fungus;Pen ch 18.0101;Aero Fungi;Penicillium Pen 18;IgE but no biological test;494;AAF71379.1;7963902;7
Penicillium chrysogenum;Fungus;;Aero Fungi;Penicillium Pen 18;IgE but no biological test;494;AAG44693.2;14215732;7
Penicillium chrysogenum;Fungus;Pen ch 13.0101;Aero Fungi;Penicillium Pen ch 13;IgE plus basophil+ or SPT+;397;AAF23726.1;6684758;7
Penicillium chrysogenum;Fungus;;Aero Fungi;Penicillium Pen ch 13;IgE plus basophil+ or SPT+;398;AAM33821.1;21069093;7
Penicillium chrysogenum;Fungus;Pen ch 20.0101;Aero Fungi;Penicillium Pen ch 20;IgE but no biological test;117;AAB34785.1;999009;7
Penicillium chrysogenum;Fungus;Pen ch 35.0101;Aero Fungi;Penicillium Pen ch 35;IgE but no biological test;324;ADK27483.1;300679427;15
Penicillium citrinum;Fungus;Unassigned;Aero Fungi;Penicillium Pen 18;IgE but no biological test;457;AAD25995.1;4588118;7
Penicillium citrinum;Fungus;Unassigned;Aero Fungi;Penicillium Pen 18;IgE but no biological test;358;AAG44480.1;12005501;7
Penicillium citrinum;Fungus;Pen c 19.0101;Aero Fungi;Penicillium Pen c 19;IgE but no biological test;503;Q92260.1;14423733;7
Penicillium citrinum;Fungus;Pen c 22.0101;Aero Fungi;Penicillium Pen c 22;IgE but no biological test;438;AAK51201.1;13991101;7
Penicillium citrinum;Fungus;Pen c 24.0101;Aero Fungi;Penicillium Pen c 24;IgE but no biological test;228;AAR17475.1;38326693;7
Penicillium citrinum;Fungus;Pen c 3.0101;Aero Fungi;Penicillium Pen c 3;IgE but no biological test;167;AAD42074.1;5326864;7
Penicillium citrinum;Fungus;Pen c 30.0101;Aero Fungi;Penicillium Pen c 30;IgE but no biological test;733;ABB89950.1;82754305;7
Penicillium citrinum;Fungus;Pen c 32.0101;Aero Fungi;Penicillium Pen c 32;IgE but no biological test;290;ABM60783.1;121584258;8
Penicillium citrinum;Fungus;Pen c 3.0101;Aero Fungi;Penicillium Pen ch 13;IgE plus basophil+ or SPT+;397;AAD25926.1;4587983;7
Penicillium crustosum;Fungus;Pen cr 26.0101;Aero Fungi;Penicillium crustosum  Pen cr 26 60s P1;IgE but no biological test;107;AEX34122.1;371537645;13
Penicillium oxalicum;Fungus;Pen o 18.0101;Aero Fungi;Penicillium Pen 18;IgE but no biological test;503;AAG44478.1;12005497;7
Rhizopus oryzae;Fungus;Unassigned;Aero Fungi;Rhizopus Rhi o 1.0101;IgE plus basophil+ or SPT+;401;AIS82657.1;695094784;16
Rhodotorula mucilaginosa;Fungus;Rho m 1.0101;Aero Fungi;Rhodotorula Rho m 1;IgE but no biological test;439;AAP30720.1;30314940;11
Rhodotorula mucilaginosa;Fungus;Rho m 2.0101;Aero Fungi;Rhodotorula Rho m 2;IgE but no biological test;342;AAT37679.1;54654335;7
Schizophyllum commune H4-8;Mushroom;Sch c 1.0101;Aero Fungi;Schizophyllum Sch c 1;IgE but no biological test;576;XP_003030591.1;302681819;15
Stachybotrys chartarum;Fungus;Sta 3.0101;Aero Fungi;Stachybotrys Sta c 3;IgE but no biological test;144;ACT37324.1;253970748;14
Stemphylium callistephi;Fungus;Unassigned;Aero Fungi;Stemphylium major allergen alt a1-like;IgE but no biological test;137;AAT66567.1;49476467;7
Stemphylium sp. CID1012;Fungus;Unassigned;Aero Fungi;Stemphylium major allergen alt a1-like;IgE but no biological test;137;ABS29033.1;152060760;9
Stemphylium vesicarium;Fungus;Unassigned;Aero Fungi;Stemphylium major allergen alt a1-like;IgE but no biological test;137;AAT66566.1;49476465;7
Ulocladium alternariae;Fungus;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;138;AAT66607.1;49476547;7
Ulocladium atrum;Fungus;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;AAT66609.1;49476551;7
Ulocladium capsicum;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;134;ACH42744.1;197110100;10
Ulocladium chartarum;Fungus;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;AAT66610.1;49476553;7
Ulocladium dauci;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;ACJ65836.1;215399749;11
Ulocladium microsporum;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;138;AGC36415.1;441467668;18
Ulocladium oudemansii;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;ACH42743.1;197110098;10
Ulocladium oudemansii;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;138;ACI44002.1;209363467;10
Ulocladium sp. CID262;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;ABQ59259.1;148357923;9
Ulocladium sp. CID598;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;ABQ59258.1;148357921;9
Ulocladium sp. CID68;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;ABQ59255.1;148357915;9
Ulocladium sp. HSAUP1144;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;138;ACJ54737.1;213958825;11
Ulocladium sp. XGZ-2008;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;ACH42741.1;197110094;10
Ulocladium sp. XGZ-2011a;;Unassigned;Aero Fungi;Ulocladium alt a1-like;IgE but no biological test;137;AGC36416.1;441467671;18
Acarus siro;Mite;Unassigned;Aero Insect;Acarus siro Group 4 allergen;IgE but no biological test;517;ABL09312.1;118638278;9
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella  chymotrypsin-like;IgE but no biological test;252;AJO53282.1;757943154;16
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella 36 kDa allergen;IgE but no biological test;20;AAB29344.1;544618;7
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella 36 kDa allergen;IgE but no biological test;25;AAB29345.1;544619;7
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella arginine kinase Bla g 9;IgE but no biological test;356;ACM24358.1;221602737;10
Blattella germanica;German cockroach;Bla g 9.0101;Aero Insect;Blattella arginine kinase Bla g 9;IgE but no biological test;356;ABC86902.1;86160922;18
Blattella germanica;German cockroach;Bla g 1.0201;Aero Insect;Blattella Bla g 1;IgE plus basophil+ or SPT+;492;AAD13531.1;4240395;7
Blattella germanica;German cockroach;Bla g 1.0101;Aero Insect;Blattella Bla g 1;IgE plus basophil+ or SPT+;412;AAD13530.2;4572592;7
Blattella germanica;German cockroach;Bla g 11.0101;Aero Insect;Blattella Bla g 11 alpha Amylase;IgE but no biological test;515;ABC68516.1;85002763;15
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 2;IgE plus basophil+ or SPT+;330;1YG9_A;62738637;7
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 2;IgE plus basophil+ or SPT+;352;ABP35603.1;145105726;9
Blattella germanica;German cockroach;Bla g 2.0101;Aero Insect;Blattella Bla g 2;IgE plus basophil+ or SPT+;352;AAA86744.1;1176397;11
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 2;IgE plus basophil+ or SPT+;334;3LIZ_A;315113421;12
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 3;IgE but no biological test;657;ACY40650.1;262272875;11
Blattella germanica;German cockroach;Bla g 3.0101;Aero Insect;Blattella Bla g 3;IgE but no biological test;657;ACY40651.1;262272877;11
Blattella germanica;German cockroach;Bla g 4.0101;Aero Insect;Blattella Bla g 4;IgE plus basophil+ or SPT+;182;AAA87851.1;1166573;7
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 4;IgE plus basophil+ or SPT+;182;ABP04043.1;144952778;9
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 4;IgE plus basophil+ or SPT+;181;ACJ37389.1;212675308;10
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 4;IgE plus basophil+ or SPT+;191;ACF53836.1;194350815;11
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 4;IgE plus basophil+ or SPT+;190;ACF53837.1;194350817;11
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella Bla g 5;IgE plus basophil+ or SPT+;200;ABP04044.1;144952780;9
Blattella germanica;German cockroach;Bla g 5.0101;Aero Insect;Blattella Bla g 5;IgE plus basophil+ or SPT+;200;AAB72147.1;2326190;11
